,ID,Host Since,property_type,city_orig,state_orig,country_code,Country,Latitude,Longitude,postal_code,Geolocation,host_since_year,City,State,zip_latitude,zip_longitude
32,165551,2011-07-07,Apartment,Geneva,Geneva,CH,Switzerland,46.217413492398656,6.129659939026043,1202,"46.217413492398656, 6.129659939026043",2011.0,Genève,Genève,46.221,6.1432
33,12014119,2016-03-24,Townhouse,Genève,Genève,CH,Switzerland,46.19163669013083,6.142568611403847,1205,"46.19163669013083, 6.142568611403847",2016.0,Genève,Genève,46.1961,6.1403
34,14039155,2016-07-16,House,Veyrier,Genève,CH,Switzerland,46.16800218915681,6.172931840750753,1255,"46.16800218915681, 6.172931840750753",2016.0,Veyrier,Genève,46.1684,6.1769
35,12041173,2014-09-01,House,Chambésy,GE,CH,Switzerland,46.23989043546961,6.14465465545247,1292,"46.23989043546961, 6.14465465545247",2014.0,Chambésy,Genève,46.2375,6.1511
36,6385502,2012-04-23,House,Chêne-Bougeries,Genève,CH,Switzerland,46.197622023658646,6.176287255265734,1224,"46.197622023658646, 6.176287255265734",2012.0,Chêne-Bougeries,Genève,46.1995,6.1858
37,8248384,2014-05-28,House,Bellevue,Genève,CH,Switzerland,46.26489082425215,6.1264907740026375,1293,"46.26489082425215, 6.1264907740026375",2014.0,Bellevue,Genève,46.2545,6.1455
38,58832,2010-11-09,House,Geneva-Plan-les-Ouates,Geneva,CH,Switzerland,46.16544338673496,6.131605577805682,1228,"46.16544338673496, 6.131605577805682",2010.0,Plan-les-Ouates,Genève,46.1642,6.118
39,7735531,2015-06-11,Apartment,Paris,Île-de-France,FR,France,48.85865448642082,2.35346198925107,75004,"48.85865448642082, 2.35346198925107",2015.0,Paris,Île-de-France,48.8534,2.3488
40,7735531,2015-06-11,Apartment,Paris,Île-de-France,FR,France,48.85865448642082,2.35346198925107,75004,"48.85865448642082, 2.35346198925107",2015.0,Paris 04,Île-de-France,48.8601,2.3507
41,3036231,2013-05-19,Apartment,Paris,Île-de-France,FR,France,48.855627773678485,2.3656368498036344,75004,"48.855627773678485, 2.3656368498036344",2013.0,Paris,Île-de-France,48.8534,2.3488
42,3036231,2013-05-19,Apartment,Paris,Île-de-France,FR,France,48.855627773678485,2.3656368498036344,75004,"48.855627773678485, 2.3656368498036344",2013.0,Paris 04,Île-de-France,48.8601,2.3507
43,2183529,2013-12-11,Apartment,Paris,Île-de-France,FR,France,48.855026887661616,2.3651218949410855,75004,"48.855026887661616, 2.3651218949410855",2013.0,Paris,Île-de-France,48.8534,2.3488
44,2183529,2013-12-11,Apartment,Paris,Île-de-France,FR,France,48.855026887661616,2.3651218949410855,75004,"48.855026887661616, 2.3651218949410855",2013.0,Paris 04,Île-de-France,48.8601,2.3507
